,masterid,SiteYear,MeanSurvival,CtrlAdjSurvival,csci,ASCI.hybrid,PyrethroidSum,huc,smcshed,smc_lu,latitude,longitude,probabilistic
5249,SMC01384,SMC01384_2009,NA,NA,0.83884778,NA,NA,404,Santa Monica Bay,Open,34.0646,-118.70091,TRUE
5251,SMC01384,SMC01384_2015,NA,NA,0.7943068,NA,NA,404,Santa Monica Bay,Open,34.0646,-118.70091,TRUE
5253,SMC01384,SMC01384_2016,NA,NA,NA,0.95232641,NA,404,Santa Monica Bay,Open,34.0646,-118.70091,TRUE
5255,SMC01384,SMC01384_2017,NA,NA,0.6770709,0.50063042,0.00095,404,Santa Monica Bay,Open,34.0646,-118.70091,TRUE
5257,SMC01384,SMC01384_2019,NA,NA,0.90415548,NA,NA,404,Santa Monica Bay,Open,34.0646,-118.70091,TRUE
5258,SMC01413,SMC01413_2012,NA,NA,0.94167603,1.00301382,NA,903,Northern San Diego,Open,33.30552,-116.80627,TRUE
5259,SMC01424,SMC01424_2009,NA,NA,0.85103812,1.05650407,NA,405,San Gabriel,Open,34.24075,-117.81585,TRUE
5260,SMC01452,SMC01452_2010,NA,NA,0.39156307,0.59952208,NA,412,Los Angeles,Urban,34.09095,-118.06675,TRUE
5261,SMC01454,SMC01454_2012,NA,NA,0.72245968,0.36800351,NA,405,San Gabriel,SMC_out,33.95504,-117.86127,TRUE
5262,SMC01464,SMC01464_2012,NA,NA,0.68552339,0.74253282,NA,412,Los Angeles,Urban,34.27516,-118.52666,TRUE
5263,SMC01504,SMC01504_2011,NA,NA,0.89538019,1.15465651,NA,405,San Gabriel,Open,34.25327,-117.71385,TRUE
5264,SMC01512,SMC01512_2010,NA,NA,0.49004624,0.94680976,NA,408,Calleguas,Urban,34.27641,-118.67252,TRUE
5265,SMC01544,SMC01544_2010,NA,NA,0.79880356,0.77551029,NA,412,Los Angeles,Open,34.29729,-118.24843,TRUE
5266,SMC01544,SMC01544_2016,NA,NA,0.84277761,0.82688916,NA,412,Los Angeles,Open,34.29729,-118.24843,TRUE
5267,SMC01550,SMC01550_2009,NA,NA,0.64473928,NA,NA,404,Santa Monica Bay,Open,34.05626,-118.84901,TRUE
5268,SMC01555,SMC01555_2011,NA,NA,0.56979985,0.45188718,NA,901,San Juan,Urban,33.54998,-117.77966,TRUE
5270,SMC01567,SMC01567_2010,NA,NA,0.65962025,0.99815107,NA,402,Ventura,Open,34.50959,-119.38373,TRUE
5272,SMC01567,SMC01567_2017,NA,NA,0.71334417,NA,NA,402,Ventura,Open,34.50959,-119.38373,TRUE
5273,SMC01606,SMC01606_2009,NA,NA,0.70290087,0.69148667,NA,906,Mission Bay and San Diego River,Urban,32.84198,-117.23481,TRUE
5274,SMC01640,SMC01640_2009,NA,NA,0.35145498,NA,NA,404,Santa Monica Bay,Urban,34.15335,-118.69679,TRUE
5276,SMC01640,SMC01640_2015,NA,NA,0.41390658,NA,NA,404,Santa Monica Bay,Urban,34.15335,-118.69679,TRUE
5278,SMC01640,SMC01640_2016,NA,NA,0.43397907,0.8792858,NA,404,Santa Monica Bay,Urban,34.15335,-118.69679,TRUE
5280,SMC01640,SMC01640_2017,NA,NA,0.42169473,0.74179494,NA,404,Santa Monica Bay,Urban,34.15335,-118.69679,TRUE
5282,SMC01640,SMC01640_2018,NA,NA,0.38274168,NA,NA,404,Santa Monica Bay,Urban,34.15335,-118.69679,TRUE
5284,SMC01640,SMC01640_2019,NA,NA,0.6082066,NA,NA,404,Santa Monica Bay,Urban,34.15335,-118.69679,TRUE
5286,SMC01656,SMC01656_2012,NA,NA,0.69219839,0.73854923,NA,412,Los Angeles,Urban,34.15633,-118.53627,TRUE
5287,SMC01662,SMC01662_2012,NA,NA,0.57818974,0.52179739,NA,845,San Gabriel,SMC_out,33.9248,-117.95665,TRUE
5288,SMC01684,SMC01684_2009,NA,NA,0.3292663,0.80653142,NA,408,Calleguas,Agricultural,34.27906,-118.91591,TRUE
5289,SMC01689,SMC01689_2012,NA,NA,0.30015228,0.55407565,NA,903,Northern San Diego,Urban,33.26814,-117.23574,TRUE
5290,SMC01692,SMC01692_2011,NA,NA,0.80380144,0.78567596,NA,412,Los Angeles,Urban,34.19798,-118.16972,TRUE
5291,SMC01694,SMC01694_2010,NA,NA,0.38914789,0.6232253,NA,845,San Gabriel,Urban,33.92,-117.90272,TRUE
5292,SMC01694,SMC01694_2018,100,111.1111111,NA,NA,NA,845,San Gabriel,Urban,33.92,-117.90272,TRUE
5293,SMC01716,SMC01716_2010,NA,NA,0.4224707,0.77369002,NA,412,Los Angeles,Urban,34.2073,-118.49727,TRUE
5294,SMC01717,SMC01717_2009,NA,NA,0.55756038,0.48629825,NA,903,Northern San Diego,Agricultural,33.34014,-117.13232,TRUE
5295,SMC01726,SMC01726_2010,NA,NA,0.58989032,0.96783585,NA,845,San Gabriel,Urban,33.86351,-117.98816,TRUE
5296,SMC01748,SMC01748_2009,NA,NA,0.71988794,0.68913889,NA,408,Calleguas,Urban,34.28747,-118.82744,TRUE
5297,SMC01748,SMC01748_2014,NA,NA,0.69224343,0.40052963,NA,408,Calleguas,Urban,34.28747,-118.82744,TRUE
5298,SMC01772,SMC01772_2012,NA,NA,0.59625569,0.69946108,NA,412,Los Angeles,SMC_out,34.11001,-118.1228,TRUE
5299,SMC01808,SMC01808_2011,NA,NA,0.81225478,0.83333764,NA,412,Los Angeles,Open,34.3094,-118.07316,TRUE
